Titel,Jahr,Authoren,ISBN,ISSN,DOI,Journal,Monat,Issue,Nummer,URL,Gruppen,
"Perceived {Factors} {Influencing} {Blockchain} {Adoption} in the {Asset} and {Wealth} {Management} {Industry} in the {Western} {Cape}, {South} {Africa}",2020,"Philip De Castro, Maureen Tanner, Kevin Johnston",978-3-030-52014-4,,10.1007/978-3-030-52014-4_4,,,,,,NOK1,
Modeling {Liability} {Data} {Collection} {Systems} for {Intelligent} {Transportation} {Infrastructure} {Using} {Hyperledger} {Fabric},2019,"Luis Cintron, Scott Graham, Douglas Hodson, Barry Mullins",978-3-030-34647-8,,10.1007/978-3-030-34647-8_8,,,,,,"OK1, NOK2",
Electronic-{Digital} {Smart} {Contracts}: {Modernization} of {Legal} {Tools} for {Foreign} {Economic} {Activity},2020,"Agnessa Inshakova, Alexander Goncharov, Daniil Salikov",978-3-030-32015-7,,10.1007/978-3-030-32015-7_1,,,,,,"OK1, NOK2",
Digital {Competences} for {Civil} {Servants} and {Digital} {Ecosystems} for {More} {Effective} {Working} {Processes} in {Public} {Organizations},2020,"Nunzio Casalino, Tommaso Saso, Barbara Borin, Enrica Massella, Flavia Lancioni",978-3-030-47355-6,,10.1007/978-3-030-47355-6_21,,,,,,NOK1,
Application of {Blockchain} {Technology} in {Healthcare}: {A} {Comprehensive} {Study},2020,"Rim Ben Fekih, Mariam Lahami",978-3-030-51517-1,,10.1007/978-3-030-51517-1_23,,,,,,NOK1,
An {Approach} to {Detect} and {Prevent} {Distributed} {Denial} of {Service} {Attacks} {Using} {Blockchain} {Technology} in {Cloud} {Environment},2021,"Vishwani Patel, Fenil Khatiwala, Yashi Choksi",9789811562297,,10.1007/978-981-15-6229-7_20,,,,,,NOK1,
Design of {Personal} {Credit} {Information} {Sharing} {Platform} {Based} on {Consortium} {Blockchain},2020,"Jing Zhang, Rong Tan, Yudong Li",9789811597398,,10.1007/978-981-15-9739-8_14,,,,,,NOK1,
{SmartLock}: {Access} {Control} {Through} {Smart} {Contracts} and {Smart} {Property},2019,"Mauricio Zaparoli, Adler Souza, Andre Oliveira Monteiro",978-3-030-14070-0,,10.1007/978-3-030-14070-0_16,,,,,,NOK1,
{ClinicAppChain}: {A} {Low}-{Cost} {Blockchain} {Hyperledger} {Solution} for {Healthcare},2020,"DanielJesus Munoz, DenisaAndreea Constantinescu, Rafael Asenjo, Lidia Fuentes",978-3-030-23813-1,,10.1007/978-3-030-23813-1_5,,,,,,"OK1, OK2, OK3",
Rendering {Untampered} {E}-{Votes} {Using} {Blockchain} {Technology},2020,"M Malathi, S Pavithra, S Preakshanashree, S Praveen Kumar, N Tamilarashan",978-3-030-32150-5,,10.1007/978-3-030-32150-5_69,,,,,,"OK1, OK2, NOK3",
Legal {Entity} {Identifier} {Blockchained} by a {Hyperledger} {Indy} {Implementation} of {GraphChain},2019,"Mirek Sopek, Przemysław Grądzki, Dominik Kuziński, Rafał Trójczak, Robert Trypuz",978-3-030-14401-2,,10.1007/978-3-030-14401-2_3,,,,,,"OK1, NOK2",
Development of the {Institute} of {Public} {Procurement} in {Modern} {Russia}: {Between} {Blockchain} and {Administration},2020,"Julia Gavrilova, Natalia Kvitsinia, Nina Kalashnikova",978-3-030-45913-0,,10.1007/978-3-030-45913-0_44,,,,,,NOK1,
Personal {Health} {Record} in {FHIR} {Format} {Based} on {Blockchain} {Architecture},2020,"Hsin Kung, YaFang Cheng, HsiuAn Lee, ChienYeh Hsu",9789811532504,,10.1007/978-981-15-3250-4_237,,,,,,NOK1,
A {New} {Blockchain}-{Based} {Value}-{Added} {Tax} {System},2017,"Dimaz Wijaya, Joseph Liu, Dony Suwarsono, Peng Zhang",978-3-319-68637-0,,10.1007/978-3-319-68637-0_28,,,,,,"OK1, OK2, NOK3",
Fundamental {Design} of {Blockchain} – {Hashchain} {Networks} with a {Decentralized} {Register} {Based} on {Cryptography} {Methods},2019,"Anatoly Makarov, Anna Golyakova, Ilya Osinin, Stepan Postovalov",978-3-319-90835-9,,10.1007/978-3-319-90835-9_72,,,,,,"OK1, NOK2",
Leveraging {Bitcoin} {Blockchain} {Technology} to {Modernize} {Security} {Perfection} {Under} the {Uniform} {Commercial} {Code},2016,David Gerstl,978-3-319-40515-5,,10.1007/978-3-319-40515-5_8,,,,,,NOK1,
Designing a {Blockchain} {Based} {Framework} for {IoT} {Data} {Trade},2020,"Pranav Singh, Roshan Singh, Sunit Nandi, Sukumar Nandi",978-3-030-37484-6,,10.1007/978-3-030-37484-6_17,,,,,,NOK1,
Suomi.fi – {Towards} {Government} 3.0 with a {National} {Service} {Platform},2018,"Jesse YliHuumo, Tero Päivärinta, Juho Rinne, Kari Smolander",978-3-319-98690-6,,10.1007/978-3-319-98690-6_1,,,,,,"OK1, NOK2",
Comparative {Analysis} of {Consensus} {Algorithms} and {Issues} in {Integration} of {Blockchain} with {IoT},2021,"Ashok Yadav, Karan Singh",9789811553455,,10.1007/978-981-15-5345-5_3,,,,,,NOK1,
Blockchain-{Based} {Personal} {Health} {Records} for {Patients}’ {Empowerment},2020,"Omar El Rifai, Maelle Biotteau, Xavier Boissezon, Imen Megdiche, Franck Ravat, Olivier Teste",978-3-030-50316-1,,10.1007/978-3-030-50316-1_27,,,,,,"OK1, NOK2",
A {New} {Privacy}-{Preserving} {Searching} {Model} on {Blockchain},2019,"Meiqi He, Gongxian Zeng, Jun Zhang, Linru Zhang, Yuechen Chen, SiuMing Yiu",978-3-030-12146-4,,10.1007/978-3-030-12146-4_16,,,,,,NOK1,
A {New} {Sustainable} {Interchain} {Design} on {Transport} {Layer} for {Blockchain},2018,"Jing Wu, Xin Cui, Wei Hu, Keke Gai, Xing Liu, Kai Zhang, Kai Xu",978-3-030-05764-0,,10.1007/978-3-030-05764-0_2,,,,,,"OK1, NOK2",
"A {Vital} {Study} of {Digital} {Ledger}: {Future} {Trends}, {Pertinent}",2020,"D Anuradha, V Sathiya, M Maheswari, K Soniya",978-3-030-32150-5,,10.1007/978-3-030-32150-5_34,,,,,,NOK1,
Data {Quality} in a {Decentralized} {Environment},2020,"Alexander Bogdanov, Alexander Degtyarev, Nadezhda Shchegoleva, Valery Khvatov",978-3-030-58808-3,,10.1007/978-3-030-58808-3_6,,,,,,NOK1,
An {Integrated} {IoT}-{Blockchain} {Implementation} for {End}-to-{End} {Supply} {Chain},2021,"Aamir Shahzad, Kaiwen Zhang",978-3-030-63089-8,,10.1007/978-3-030-63089-8_65,,,,,,NOK1,
Using {Blockchain} to {Support} {Data} and {Service} {Management} in {IoV}/{IoT},2018,"Obaro Odiete, Richard Lomotey, Ralph Deters",978-3-319-76451-1,,10.1007/978-3-319-76451-1_33,,,,,,NOK1,
Vision: {A} {Critique} of {Immunity} {Passports} and {W3C} {Decentralized} {Identifiers},2020,Harry Halpin,978-3-030-64357-7,,10.1007/978-3-030-64357-7_7,,,,,,NOK1,
Numerical {Problems} in {XBRL} {Reports} and the {Use} of {Blockchain} as {Trust} {Enabler},2020,"Gianfranco d’Atri, Van Le, Dino Garrì, Stella d’Atri",978-3-030-39081-5,,10.1007/978-3-030-39081-5_35,,,,,,"OK1, NOK2",
Digital {Blockchain} {Registration} of {Legally} {Significant} {Stages} of {Complex} {Good}’s {Export}-{Import} {Supplies} by {Business} {Entities} of the {EAEU} and {BRICS} {Jurisdictions},2020,"Agnessa Inshakova, Alexander Goncharov, Inna Ershova",978-3-030-45913-0,,10.1007/978-3-030-45913-0_37,,,,,,"OK1, OK2, NOK3",
Integrating {Multi}-agent {Simulations} into {Enterprise} {Application} {Landscapes},2019,"Timotheus Kampik, Amro Najjar",978-3-030-24299-2,,10.1007/978-3-030-24299-2_9,,,,,,NOK1,
Analysing {Opportunities} and {Challenges} of {Integrated} {Blockchain} {Technologies} in {Healthcare},2018,"Ebru Gökalp, Mert Gökalp, Selin Çoban, P Eren",978-3-030-00060-8,,10.1007/978-3-030-00060-8_13,,,,,,NOK1,
Achieving a {High} {Level} of {Open} {Market}-{Information} {Symmetry} with {Decentralised} {Insurance} {Marketplaces} on {Blockchains},2019,"Alex Norta, Risto Rossar, Mart Parve, Liina LaasBillson",978-3-030-22871-2,,10.1007/978-3-030-22871-2_22,,,,,,NOK1,
A {Contract} {Based} {User}-{Centric} {Computational} {Trust} {Towards} {E}-{Governance},2020,"Bin Hu, Xiaofang Zhao, Cheng Zhang, Yan Jin, Bo Wei",978-3-030-59618-7,,10.1007/978-3-030-59618-7_9,,,,,,"OK1, NOK2",
Blockchain-{Based} {Food} {Traceability}: {A} {Dataflow} {Perspective},2020,"Xingchen Liu, Jiaqi Yan, Jinbei Song",978-3-030-34986-8,,10.1007/978-3-030-34986-8_30,,,,,,NOK1,
A {New} {Performance} {Testing} {Scheme} for {Blockchain} {System},2020,"Chongxuan Yuan, Jianming Zhu",9789811556821,,10.1007/978-981-15-5682-1_55,,,,,,NOK1,
A {Traceability} {Architecture} for the {Fresh} {Food} {Supply} {Chain} {Based} on {Blockchain} {Technology} in {China},2020,"Yue Li, Xiaoquan Chu, Dong Tian, Jianying Feng, Weisong Mu",9789811580833,,10.1007/978-981-15-8083-3_31,,,,,,NOK1,
Design and {Implementation} of {Medical} {Dispute} {Governance} {Based} on {Blockchain},2019,"Xiaofeng Wang, Qilin Zhang, Zhenni Shi, Ziyuan Ye",9789811507588,,10.1007/978-981-15-0758-8_16,,,,,,NOK1,
Application and {Challenges} of {Blockchain} {Technology} to {Big} {Data}-{Based} {Credit} {Reference} in {China},2019,"Chengyong Liu, Cheng Chen",978-3-030-06158-6,,10.1007/978-3-030-06158-6_15,,,,,,NOK1,
A {View} on the {Blockchain} as a {Solution} to the {Healthcare} {Industry}: {Challenges} and {Opportunities},2020," Sharmila, Krista Chaudhary, Umang Kant, Pramod Kumar",9789811536663,,10.1007/978-981-15-3666-3_14,,,,,,NOK1,
Bitcoin: {Bubble} or {Blockchain},2015,Philip Godsiff,978-3-319-19728-9,,10.1007/978-3-319-19728-9_16,,,,,,NOK1,
"An {Overview} of {Blockchain} {Consensus} {Algorithms}: {Comparison}, {Challenges} and {Future} {Directions}",2021,"Kebira Azbeg, Ouail Ouchetto, Said Jai Andaloussi, Laila Fetjah",9789811560484,,10.1007/978-981-15-6048-4_31,,,,,,NOK1,
Creation of {Smart}-{Contracting} {Collaborations} for {Decentralized} {Autonomous} {Organizations},2015,Alex Norta,978-3-319-21915-8,,10.1007/978-3-319-21915-8_1,,,,,,"OK1, NOK2",
The {Possibilities} of the {Blockchain} {Technology} in the {Provision} of the {Real} {Estate} {Rights}’ {Registration} {Services},2021,"Andrey Sadkov, Vitalii Vekhov, Nikolay Kotelnikov, Vitalii Sadkov",978-3-030-59126-7,,10.1007/978-3-030-59126-7_140,,,,,,"OK1, OK2, NOK3",
"Introduction: {Legal} and {Ethical} {Dimensions} of {AI}, {NorMAS}, and the {Web} of {Data}",2018,"Ugo Pagallo, Monica Palmirani, Pompeu Casanovas, Giovanni Sartor, Serena Villata",978-3-030-00178-0,,10.1007/978-3-030-00178-0_1,,,,,,NOK1,
Digital {Transformation} of {Airline} {Management} as the {Basis} of {Innovative} {Development},2020,"Alexander Sukhorukov, Nikolay Koryagin, Julia Sulyagina, Nataliya Ulitskaya, Sergey Eroshkin",978-3-030-37916-2,,10.1007/978-3-030-37916-2_83,,,,,,NOK1,
Towards {Blockchain} and {Semantic} {Web},2019,"Juan CanoBenito, Andrea Cimmino, Raúl GarcíaCastro",978-3-030-36691-9,,10.1007/978-3-030-36691-9_19,,,,,,NOK1,
Design of a {Blockchain}-{Driven} {System} for {Product} {Counterfeiting} {Restraint} in the {Supply} {Chain},2019,"Sotiris Gayialis, Evripidis Kechagias, Georgios Papadopoulos, Grigorios Konstantakopoulos",978-3-030-30000-5,,10.1007/978-3-030-30000-5_59,,,,,,NOK1,
Framework for {Next} {Generation} of {Digital} {Healthcare} {Systems},2019,"Jovan Karamachoski, Liljana Gavrilovska",978-3-030-23976-3,,10.1007/978-3-030-23976-3_2,,,,,,NOK1,
Detecting {Token} {Systems} on {Ethereum},2019,"Michael Fröwis, Andreas Fuchs, Rainer Böhme",978-3-030-32101-7,,10.1007/978-3-030-32101-7_7,,,,,,NOK1,
Integrating the {Combination} of {Blockchain} and {RPG} into {Undergraduate} {Learning},2019,"Tingsheng Weng, ChienKuo Li, ChihHung Wu",978-3-030-35343-8,,10.1007/978-3-030-35343-8_55,,,,,,NOK1,
Formation of a {Legal} {Model} of {Realizing} the {Interests} and {Protecting} the {Rights} of {Economic} {Entities} {Under} the {Economy} {Digitalization},2020,"Alexander Epifanov, Sergey Bratanovsky, Marine Abesalashvili",978-3-030-39319-9,,10.1007/978-3-030-39319-9_76,,,,,,NOK1,
Digital {Economy} as a {Way} to {Ensure} {Economic} {Growth},2020,"E Razuvaeva, N Starun, L Elkina",978-3-030-27015-5,,10.1007/978-3-030-27015-5_15,,,,,,NOK1,
A {Kind} of {Decision} {Model} {Research} {Based} on {Big} {Data} and {Blockchain} in {eHealth},2018,"Xiaohuan Wang, Qingcheng Hu, Yong Zhang, Guigang Zhang, Wan Juan, Chunxiao Xing",978-3-030-02934-0,,10.1007/978-3-030-02934-0_28,,,,,,NOK1,
New {Technologies} in the {Financial} {Industry},2020,"Adem Abdić, Adnan Rovčanin, Ademir Abdić",978-3-030-46817-0,,10.1007/978-3-030-46817-0_111,,,,,,NOK1,
A {Research} on {Real}-{Name} {Blockchain} {System} {Bind} {Health} {Passbook} {Electronic} {Medical} {Record} {Exchanges} {Mechanism},2020,"JuiHung Kao, WeiChen Wu, LiMin Hsu, HorngTwu Liaw",9789811532504,,10.1007/978-981-15-3250-4_241,,,,,,"OK1, NOK2",
Rise and {Rise} of {Blockchain}: {A} {Patent} {Statistics} {Approach} to {Identify} the {Underlying} {Technologies},2020,"Priyanka Bhatt, Vimal Kumar, TzuChuen Lu, Rico Cho, Kuei Lai",9789811533808,,10.1007/978-981-15-3380-8_40,,,,,,NOK1,
Implementation of {Digital} {Technologies} in {Pharmaceutical} {Products} {Lifecycle},2019,"Konstantin Koshechkin, German Klimenko, Alexander Polikarpov",9789811383038,,10.1007/978-981-13-8303-8_27,,,,,,NOK1,
Decentralizing the {Social} {Web},2019,Harry Halpin,978-3-030-17705-8,,10.1007/978-3-030-17705-8_16,,,,,,NOK1,
Designing a {Trusted} {Data} {Brokerage} {Framework} in the {Aviation} {Domain},2019,"Evmorfia Biliri, Minas Pertselakis, Marios Phinikettos, Marios Zacharias, Fenareti Lampathaki, Dimitrios Alexandrou",978-3-030-28464-0,,10.1007/978-3-030-28464-0_21,,,,,,"OK1, NOK2",
Synergy of {Blockchain} {Technologies} and “{Big} {Data}” in {Business} {Process} {Management} of {Economic} {Systems},2020,"Yulia Vertakova, Tatyana Golovina, Andrey Polyanin",978-3-030-29586-8,,10.1007/978-3-030-29586-8_97,,,,,,NOK1,
Towards a {Formally} {Verified} {EVM} in {Production} {Environment},2020,"Xiyue Zhang, Yi Li, Meng Sun",978-3-030-50029-0,,10.1007/978-3-030-50029-0_21,,,,,,NOK1,
Establishing {Distributed} {Governance} {Infrastructures} for {Enacting} {Cross}-{Organization} {Collaborations},2016,Alex Norta,978-3-662-50539-7,,10.1007/978-3-662-50539-7_3,,,,,,NOK1,
Mutichain {Enabled} {EHR} {Management} {System} and {Predictive} {Analytics},2020,"Meghana Nagori, Aditya Patil, Saurabh Deshmukh, Gauri Vaidya, Mayur Rahangdale, Chinmay Kulkarni, Vivek Kshirsagar",9789811500770,,10.1007/978-981-15-0077-0_19,,,,,,NOK1,
Specifics of {Company} {Management}’s {Digital} {System} {Creation},2021,"Ilya Pshenichnikov, Veronica Epinina, Svetlana Korobova, Anatoly Karabanov",978-3-030-59126-7,,10.1007/978-3-030-59126-7_161,,,,,,NOK1,
The {Development} of {Telematics} in the {Context} of the {Concepts} of “{Industry} 4.0” and “{Logistics} 4.0”,2018,Andrzej Bujak,978-3-319-97955-7,,10.1007/978-3-319-97955-7_34,,,,,,NOK1,
Problems of {Digital} {Technologies} {Using} in {Employment} and {Employment} {Relations},2020,"M Kot, F Spanagel, O Belozerova",978-3-030-11367-4,,10.1007/978-3-030-11367-4_21,,,,,,NOK1,
Survey of {Digital} {Signature} {Technology} for {IoT} {Environment}: {Focused} on {KSI}’s {Global} {Timestamping} {Technique},2020,"GyeongJin Ra, ImYeong Lee",9789811393419,,10.1007/978-981-13-9341-9_89,,,,,,NOK1,
Preliminary of {Selfish} {Mining} {Strategy} on the {Decentralized} {Model} of {Personal} {Health} {Information},2019,"Sandi Rahmadika, KyungHyune Rhee",9789811313288,,10.1007/978-981-13-1328-8_87,,,,,,NOK1,
Designing a {Patient}-{Centric} {System} for {Secure} {Exchanges} of {Medical} {Data},2020,"Thais Webber, Juan Santana, Andreas Vermeulen, Juliana Bowles",978-3-030-58817-5,,10.1007/978-3-030-58817-5_44,,,,,,"OK1, NOK2",
Knowledge in {Government}: {New} {Directions},2018,Roland Traunmüller,978-3-319-98349-3,,10.1007/978-3-319-98349-3_8,,,,,,NOK1,
Bring {Intelligence} to {Ports} {Based} on {Internet} of {Things},2018,"Suying Li, Zhenzhou Ma, Peitao Han, Siyang Zhao, Peiying Guo, Hepeng Dai",978-3-030-00018-9,,10.1007/978-3-030-00018-9_12,,,,,,NOK1,
Research on the {Application} of {Block} {Chain} {Technology} in {Internet} {Finance},2019,"Qiusheng Zhang, Xingyun Zhang",978-3-030-02804-6,,10.1007/978-3-030-02804-6_95,,,,,,NOK1,
The {Expected} {Outcomes} of {Implementing} a {Distributed} {File} {System} in the {Construction} {Industry},2021,"Mohammad Darabseh, João Martins",978-3-030-35533-3,,10.1007/978-3-030-35533-3_27,,,,,,"OK1, NOK2",
